OID_,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_US_L4CODE,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_US_L4NAME,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Jan_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Feb_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Mar_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Apr_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_May_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Jun_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Jul_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Aug_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Sep_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Oct_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Nov_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Dec_TAVG_C,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Jan_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Feb_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Mar_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Apr_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_May_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Jun_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Jul_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Aug_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Sep_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Oct_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Nov_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_ER_clim_Dec_PRCP_m,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_JAN,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_FEB,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_MAR,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_APR,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_MAY,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_JUN,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_JUL,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_AUG,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_SEP,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_OCT,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_NOV,ER_clim_NLCD_crop_ER_clim_NLCD_GLDAS_ER_monthly_avgs_GLDAS_DEC,ER_clim_NLCD_crop_NLCD_ER_pivot_Barren_Land,ER_clim_NLCD_crop_NLCD_ER_pivot_Cultivated_Crops,ER_clim_NLCD_crop_NLCD_ER_pivot_Deciduous_Forest,ER_clim_NLCD_crop_NLCD_ER_pivot_Developed__High_Intensity,ER_clim_NLCD_crop_NLCD_ER_pivot_Developed__Low_Intensity,ER_clim_NLCD_crop_NLCD_ER_pivot_Developed__Medium_Intensity,ER_clim_NLCD_crop_NLCD_ER_pivot_Developed__Open_Space,ER_clim_NLCD_crop_NLCD_ER_pivot_Emergent_Herbaceuous_Wetlands,ER_clim_NLCD_crop_NLCD_ER_pivot_Evergreen_Forest,ER_clim_NLCD_crop_NLCD_ER_pivot_Hay_Pasture,ER_clim_NLCD_crop_NLCD_ER_pivot_Herbaceuous,ER_clim_NLCD_crop_NLCD_ER_pivot_Mixed_Forest,ER_clim_NLCD_crop_NLCD_ER_pivot_Open_Water,ER_clim_NLCD_crop_NLCD_ER_pivot_Shrub_Scrub,ER_clim_NLCD_crop_NLCD_ER_pivot_Unclassified,ER_clim_NLCD_crop_NLCD_ER_pivot_Woody_Wetlands,Liv_atlas_cropland_ER_pivot_Alfalfa,Liv_atlas_cropland_ER_pivot_Apples,Liv_atlas_cropland_ER_pivot_Barley,Liv_atlas_cropland_ER_pivot_Blueberries,Liv_atlas_cropland_ER_pivot_Christmas_Trees,Liv_atlas_cropland_ER_pivot_Clover_Wildflowers,Liv_atlas_cropland_ER_pivot_Corn,Liv_atlas_cropland_ER_pivot_Cucumbers,Liv_atlas_cropland_ER_pivot_Dry_Beans,Liv_atlas_cropland_ER_pivot_Fallow_Idle_Cropland,Liv_atlas_cropland_ER_pivot_Grapes,Liv_atlas_cropland_ER_pivot_Millet,Liv_atlas_cropland_ER_pivot_Misc_Vegs___Fruits,Liv_atlas_cropland_ER_pivot_Oats,Liv_atlas_cropland_ER_pivot_Other_Hay_Non_Alfalfa,Liv_atlas_cropland_ER_pivot_Other_Tree_Crops,Liv_atlas_cropland_ER_pivot_Potatoes,Liv_atlas_cropland_ER_pivot_Pumpkins,Liv_atlas_cropland_ER_pivot_Rye,Liv_atlas_cropland_ER_pivot_Sod_Grass_Seed,Liv_atlas_cropland_ER_pivot_Sorghum,Liv_atlas_cropland_ER_pivot_Soybeans,Liv_atlas_cropland_ER_pivot_Spring_Wheat,Liv_atlas_cropland_ER_pivot_Squash,Liv_atlas_cropland_ER_pivot_Tobacco,Liv_atlas_cropland_ER_pivot_Uncultivated,Liv_atlas_cropland_ER_pivot_Winter_Wheat,MEAN_chorizon_claytotal_r,MEAN_chorizon_dbovendry_r,Shape_Area,MEAN_vt_soil_lab_dat_by_cnty_crop_2021_06_18_csv_crops,MEAN_vt_soil_lab_dat_by_cnty_crop_2021_06_18_csv_hay,MEAN_vt_soil_lab_dat_by_cnty_crop_2021_06_18_csv_pasture,MEAN_vt_soil_lab_dat_by_cnty_crop_2021_06_18_csv_cons_plant
1,58a,Taconic Mountains,-6.638248847930000,-3.729064039410000,0.708042269188000,7.556666666670000,13.164055299499999,18.237142857100000,20.031336405499999,19.785483871000000,15.645766283500000,8.653763440860001,4.458314176250000,-2.201024065540000,58.975000000000001,48.191666666700002,67.775000000000006,55.016666666699997,85.400000000000006,106.000000000000000,122.083333332999999,103.241666667000004,88.500000000000000,98.658333333300007,71.566666666700002,66.438461538499993,17.004838318114611,20.073578974527461,34.038279661535881,61.981621528010940,103.982032044005507,132.178503223281808,145.864323088374505,122.927560067576394,78.757001283370926,39.409183629267240,22.660790536981619,16.675735301455202,0.574003423705025,8.776666261120665,730.815013746660270,0.084829104917915,4.998630833361609,1.155394490417674,23.006038675585593,1.639462241799394,81.256948322384758,60.952556927879471,16.647170767375471,101.311602495349348,1.854176631225666,3.019580137391992,,16.302122343940514,1.442781111946738,0.021000901163849,0.005731758355648,0.001228923635665,0.000616222286496,0.004508787349539,6.508714263628173,0.002700000000088,,0.128713802836030,,,,,68.758603091294376,0.029404420279550,0.001516222286336,0.002416222286146,0.017771665961450,,0.004105810550661,0.126194951373087,,,,975.363534012976402,,7.567498466921784,0.740399430895446,1052523344.680729031562805,4.468109963826872,4.919317571987227,5.610233759295714,6.415583642678213
2,58b,Western New England Marble Valleys,-6.638248847930000,-3.729064039410000,0.708042269188000,7.556666666670000,13.164055299499999,18.237142857100000,20.031336405499999,19.785483871000000,15.645766283500000,8.653763440860001,4.458314176250000,-2.201024065540000,58.975000000000001,48.191666666700002,67.775000000000006,55.016666666699997,85.400000000000006,106.000000000000000,122.083333332999999,103.241666667000004,88.500000000000000,98.658333333300007,71.566666666700002,66.438461538499993,16.998623396043271,20.121031503903129,33.795401899265343,60.355514362791347,101.122426646267996,129.342901210874288,143.479974865821788,121.204168480215699,77.989929288156816,39.099399071446612,22.649547136574942,16.951610835417640,4.041975948707228,12.793353404348675,204.967870959921584,5.221365381654532,29.981943251911250,23.898911695131098,43.643434239927437,9.311150569467472,101.872593414280630,105.821841392421859,17.543777369807085,115.464904027489638,3.200309633183714,2.514309092090688,,67.990703093660315,1.734930537262410,0.005966084503951,0.027266615949811,0.002416222286785,,0.014592011403787,12.768700849004436,,,0.659689319800136,,0.001800000000120,0.011708787343666,0.005076342777364,110.690719109906340,0.001232444572744,0.016495387430828,0.007168564723893,0.389926572076316,0.003276562495972,0.124234551967905,0.409261462651755,0.000576342769330,0.001515879178263,0.008068907829977,621.386205140604261,0.001800000000106,9.202750121608634,1.155621205449927,748335013.890255212783813,4.465444968875605,4.922483056266037,5.613620190287230,6.412057332510166
3,58c,Green Mountains/Berkshire Highlands,-9.968574077020000,-7.505181210420000,-1.858986175120000,5.511666666670000,12.224986095700000,17.402126436800000,19.506854838700001,19.020737327199999,15.046598639500001,7.403932411670000,2.497482993200000,-5.029615975420000,54.683333333299998,42.625000000000000,48.466666666700000,60.153846153800004,81.323076923100004,99.276923076900005,122.738461537999996,93.607692307700006,80.292307692300000,97.615384615400004,76.207692307700000,70.846153846199996,15.816320143879370,18.466950639345299,31.085569427336189,53.704800918401411,94.195397522286825,123.036717072255499,138.361330558930604,116.807536939617194,76.048455778555095,37.844081607163510,21.718288313738409,16.351532071446190,7.923992005759479,12.426498279286193,3695.630203832720781,2.845047180395714,63.203035624709905,17.709263521966850,232.697442858974426,16.173641104073983,768.363046279334867,302.349675386146600,60.138880961887516,2067.859534707662078,52.385202719800851,83.948828155130386,0.010974349085956,201.860450699823360,1.046761743961375,0.036031796685775,0.108398211437233,0.006933110766446,0.081692984951765,0.001295837397723,17.023128100538457,0.002092565063490,0.000900000000076,0.923714483901249,0.008831138255807,0.000900000000048,0.044881103584331,0.004499999999430,269.545806473124401,0.204151478517297,0.068236461780642,0.067408927219594,0.065756886207786,0.029377139761049,0.019682187092263,0.442320122978346,0.000899999999981,0.004752685545682,,7295.803334011755396,0.010783622244130,3.996330411830451,0.713335972001105,7585665479.821608543395996,4.505009143871389,5.280352251564814,5.829788897717997,5.839660681771642
4,58f,Vermont Piedmont,-7.352726839350000,-4.604345531320000,0.274470046083000,7.024468390800000,12.961855302200000,18.259425287399999,20.518528225800001,20.278745885500001,15.889573070599999,8.391505376340000,3.636632653060000,-2.900954575380000,67.616666666699999,68.608333333299996,84.266666666700004,76.223076923099995,94.538461538500002,111.623076922999999,101.384615385000004,81.984615384600005,96.730769230799993,121.430769230999999,87.746153846200002,82.107692307700006,18.405414144884350,21.260299122475779,34.462360592230510,56.457061252947533,98.908995995718556,127.536937688225294,142.447288810973902,119.596706964967296,77.241887127244595,39.579701102126393,22.726297890617609,18.393126714829972,3.600299906866762,5.006957620300285,1088.429415805291455,1.638059232036344,44.622878054314100,16.090203629296102,133.985381837077199,6.537254731083491,666.826055396594825,282.413780025152164,31.849589177271650,776.239188862696892,13.511140265917813,33.902443987496639,,57.151812830725568,0.502385310354375,1.122642821968170,0.023000640969308,0.018608569825507,0.178364574862365,,6.818329458374974,,0.001476342776860,0.332550190365240,,,0.002092565055429,,274.834284273867240,0.004597333717400,0.027493101273400,0.043976870268055,0.023377566639376,0.019888775198799,,0.050127211725140,0.002700000000020,0.049270350124122,,2877.762346550684015,,4.673067348772557,0.754569387994600,3161986498.586538314819336,3.982018834778223,5.232100197315710,5.642612800884793,5.137763127785371
5,58g,Worchester/Monadnock Plateau,-6.638248847930000,-3.729064039410000,0.708042269188000,7.556666666670000,13.164055299499999,18.237142857100000,20.031336405499999,19.785483871000000,15.645766283500000,8.653763440860001,4.458314176250000,-2.201024065540000,58.975000000000001,48.191666666700002,67.775000000000006,55.016666666699997,85.400000000000006,106.000000000000000,122.083333332999999,103.241666667000004,88.500000000000000,98.658333333300007,71.566666666700002,66.438461538499993,22.681087522661660,28.143298396276290,39.249297536287678,60.742926567556218,103.400013870260395,130.444289672912305,144.164779374600414,122.558670983885506,79.582419967994142,42.752964024361141,25.089757412655391,21.375993998340139,0.050299418226098,0.002699999999978,4.770287343597350,0.006552685547951,0.646378369740160,0.511867343865426,1.410965047478654,0.180335752594873,18.156076883083525,1.820704398115755,0.589456501998756,10.500369277422504,0.011008627007897,0.181344087278589,,1.029090261964603,0.003672290036756,0.001799999999808,,,,,0.052919641524360,,,0.047359189722367,,,,,1.445628416272575,,,,,0.000900000000148,,,,0.002035107419826,,38.327197272786051,,5.392200538723558,0.855225248334911,39926377.641567990183830,4.115868421052631,5.479159779614323,5.754117647058825,5.589999999999990
6,58j,Upper Montane/Alpine Zone,-6.638248847930000,-3.729064039410000,0.708042269188000,7.556666666670000,13.164055299499999,18.237142857100000,20.031336405499999,19.785483871000000,15.645766283500000,8.653763440860001,4.458314176250000,-2.201024065540000,58.975000000000001,48.191666666700002,67.775000000000006,55.016666666699997,85.400000000000006,106.000000000000000,122.083333332999999,103.241666667000004,88.500000000000000,98.658333333300007,71.566666666700002,66.438461538499993,15.254467798290991,17.986298156012090,30.526269633728901,53.731267849187567,92.951298054371620,121.855938065351395,137.533478037391291,116.460978944894805,75.549734522575235,37.280938969898322,21.424869944191919,15.772596914156560,1.224016001774748,,310.101933575232806,0.015249072989686,0.464615108369898,0.143581841520156,4.961446800507493,0.818757125336377,185.365025011716625,0.037334071388040,2.830102320729609,127.822106026868241,1.257608782479884,7.821217743175448,,13.989179032784095,0.027295060817301,0.001232444572530,0.002708997667758,0.000615879178167,,,0.107150957486974,,,0.033978430128636,,,0.002775036620955,,0.933815313034741,,0.000616222286473,0.012109515918451,0.003135390853226,0.004517231581129,0.002952685545397,0.006269127563131,,,0.000576342774261,655.712180213926672,,4.006697832079972,0.512529158553635,656851932.073097229003906,4.522942256718965,5.156264199753015,5.774529557778326,6.312633680516416
7,58k,Green Mountain Foothills,-8.143778801840000,-5.626090781140000,-0.350265863169000,6.959928160920000,14.028629032300000,19.238750000000000,21.460483871000001,21.027567478600002,16.956014543700000,9.094725885900001,4.211791643860000,-3.100261136710000,52.226666666699998,44.713333333300000,56.306666666700004,71.689999999999998,87.540000000000006,93.700000000000003,105.579999999999998,99.373333333299996,92.453333333299994,91.530000000000001,79.466666666699993,60.399999999999999,12.450528787141710,14.359726491205770,26.563058585391548,50.506002811697513,97.859065091052216,128.608745013561702,143.646116109558790,121.350148902610698,79.014134988927964,37.674037312224662,19.784837469461831,13.289524229046931,0.998508255733712,46.861036269362849,575.366094150031699,1.242008896008413,30.219353747198571,7.979678835849941,50.556528545710236,24.269827598168362,181.207099209381084,347.691090336930358,8.233546519962475,274.500294699107997,17.999042031422448,10.848937509356853,0.032951315980034,73.664175853963414,0.397616999422048,2.513667364661003,0.532116015751131,0.002092565065263,0.007045746805934,,47.647034495712973,0.001476342772355,,0.157349151238936,0.048664179706235,,0.025817990216825,0.034993444626480,280.065279175641024,0.021237236902070,0.008968907828507,0.030981002430649,0.375463900016519,0.000616222286003,0.097212050071041,0.634583628400187,,0.001476342778763,0.001799999999883,1319.068516050931976,0.002522296305627,4.343644668952902,0.846294088218943,1651953293.450564861297607,4.399706951254237,5.381104674657785,6.058165556345823,6.344377191098520
8,58l,Northern Piedmont,-9.501843317970000,-7.078976073190000,-1.935944700460000,5.488333333330000,12.166935483900000,17.089583333299998,19.148723118300001,18.756682027600000,14.805755968200000,7.272350230410000,2.288571428570000,-4.995391705070000,56.953571428600000,51.564285714299999,60.760714285699997,67.348275862099996,85.758620689699995,93.672413793100006,99.000000000000000,102.321428570999998,82.728571428600006,89.224999999999994,79.378571428599997,68.025000000000006,13.472451710678129,15.649897384064680,28.276883690065461,51.062516314731567,95.130688616270234,124.927531883033794,139.608316611323488,116.154930064817094,75.520327339929949,36.624558324292671,20.003423546108031,14.191485675146470,7.459050981904476,43.054885865174931,960.809632600404029,7.323532389299930,80.173980840088902,28.891637829800729,161.914518589860023,22.165205840574533,699.320658128625723,573.324257495212919,54.649618297959222,1071.301953739900455,81.367038133995038,59.279247102821309,0.100206596978786,194.944563759652539,3.290289899876222,0.007174245643488,0.222156884435410,0.004225000236101,0.171009881742038,0.000899999999966,56.161096914326244,,,0.785986914412975,,,0.034413401737906,0.000900000000032,553.490755176276934,0.004929778291127,0.053427303491181,0.085590231609663,0.067047273806214,0.028486155006882,0.017027192665919,0.355634769639930,0.010729452669621,0.004499999999988,0.000899999999879,3431.277890301581465,0.012784626587105,4.496483538309628,0.834870114886424,4046650544.771907806396484,4.801623555618050,5.710791615012072,5.794104247252139,6.445726915861258
9,58m,Quebec/New England Boundary Mountains,-9.329817862630000,-7.086679349840000,-1.164161504140000,5.791362637360000,12.401274431899999,17.989304029300001,20.010476403799998,19.455172413800000,15.248684025299999,7.411231300080000,2.474179894180000,-4.826731402240000,49.841666666700000,51.975000000000001,56.549999999999997,81.766666666700004,86.141666666700004,93.924999999999997,106.046153845999996,96.369230769200001,88.023076923100007,108.938461537999999,86.846153846199996,75.930769230799996,12.358324255829761,14.722773854151869,26.813840093337092,48.091320932361043,90.469649922547845,121.856546360499607,136.380389582890189,113.752928091250695,73.212971009211699,35.109941688838411,19.132769782679681,13.361145634872519,0.660128127171887,0.878256202634042,869.330936897633705,0.266109285893817,5.848642198870198,1.417787572052872,32.243654617554327,2.884077856012921,179.119191856272550,17.994660974020007,9.377578789886629,455.792052062906009,31.447662281661678,66.898005126598449,0.060720959892329,114.742170494832848,0.028337213898430,,0.001516222286401,0.000616222286326,0.000900000000084,,1.261016935398519,,,0.061556491023285,,,,,23.334217668551744,,0.000899999999995,0.002052685546984,0.002092565060867,0.002195700071817,,,,,,1764.275776710774608,,2.832512205191961,0.704644675730859,1789841353.928232669830322,4.312238621970008,5.623675507151535,6.453227195796331,8.620708141334593
10,58o,Northern Connecticut Valley,-7.352726839350000,-4.604345531320000,0.274470046083000,7.024468390800000,12.961855302200000,18.259425287399999,20.518528225800001,20.278745885500001,15.889573070599999,8.391505376340000,3.636632653060000,-2.900954575380000,67.616666666699999,68.608333333299996,84.266666666700004,76.223076923099995,94.538461538500002,111.623076922999999,101.384615385000004,81.984615384600005,96.730769230799993,121.430769230999999,87.746153846200002,82.107692307700006,16.605561306615961,19.295169106495660,32.751582361684243,53.864885267466157,96.086799806134792,125.664776815254200,140.682489393384088,117.534036058995000,75.537100045098853,37.776481204123137,21.363493674019491,16.819967395548140,2.092327091984329,24.953320189047414,54.457727068359901,1.781012754479369,20.210937647936685,10.283804950655687,16.796567750713667,1.984735775131106,57.476115984007670,50.950502220500098,3.388656681340743,67.889112933804896,13.382913750367116,4.730541543129687,,13.943106385433396,1.065629601978326,0.101208782028391,0.003486402113011,0.010506085008996,0.006025009637521,,23.399050409116128,0.000899999999973,,0.064511383144685,,,0.005076342772510,,48.138511986172844,,0.050461901931798,0.188063759515944,0.007891889111005,0.009008787341237,,0.022139346849729,,0.014917459495952,0.001800000000204,271.333822259160229,,4.622606742716307,0.998439857472936,349612657.568304598331451,4.105202418660531,5.373509129947339,5.940099676828498,6.618868639261645
